Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,L-BFGS,Final_Objective_Value,QQN-StrongWolfe,-5.101469,0.001000,true,1.613226
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,L-BFGS,Computational_Cost,-,-0.847696,0.500000,false,0.268065
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Trust Region-Adaptive,Final_Objective_Value,-,-1.568684,0.100000,false,0.496061
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,46.585501,0.001000,true,14.731629
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,L-BFGS-Conservative,Final_Objective_Value,QQN-StrongWolfe,-4.248457,0.001000,true,1.343480
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,L-BFGS-Conservative,Computational_Cost,QQN-StrongWolfe,-18.523288,0.001000,true,5.857578
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Adam-Fast,Final_Objective_Value,Adam-Fast,3.392881,0.001000,true,0.927491
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Adam-Fast,Computational_Cost,Adam-Fast,40.099142,0.001000,true,9.048333
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Adam-WeightDecay,Final_Objective_Value,QQN-StrongWolfe,-8.562634,0.001000,true,2.707743
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,23.024820,0.001000,true,7.281087
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Trust Region-Standard,Final_Objective_Value,QQN-StrongWolfe,-2.515590,0.010000,true,0.795499
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Trust Region-Standard,Computational_Cost,Trust Region-Standard,69.231367,0.001000,true,21.892880
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD-Nesterov,Final_Objective_Value,QQN-StrongWolfe,-25.565663,0.001000,true,8.084572
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD-Nesterov,Computational_Cost,GD-Nesterov,337.623047,0.001000,true,106.765782
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD-WeightDecay,Final_Objective_Value,QQN-StrongWolfe,-19.740083,0.001000,true,6.242362
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD-WeightDecay,Computational_Cost,QQN-StrongWolfe,-92.621781,0.001000,true,29.289579
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Adam-AMSGrad,Final_Objective_Value,QQN-StrongWolfe,-16.466876,0.001000,true,5.207283
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,Adam-AMSGrad,Computational_Cost,Adam-AMSGrad,23.024820,0.001000,true,7.281087
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD-Momentum,Final_Objective_Value,QQN-StrongWolfe,-25.878653,0.001000,true,8.183549
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD-Momentum,Computational_Cost,GD-Momentum,341.361578,0.001000,true,107.948009
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD,Final_Objective_Value,QQN-StrongWolfe,-22.565124,0.001000,true,7.082135
NeuralNetwork_100samples_layers_5_10_3,QQN-StrongWolfe,GD,Computational_Cost,QQN-StrongWolfe,-92.621781,0.001000,true,29.289579
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam,Final_Objective_Value,QQN-Backtracking,-24.981597,0.001000,true,7.899875
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam,Computational_Cost,Adam,87.822853,0.001000,true,27.772024
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,L-BFGS-Aggressive,Final_Objective_Value,QQN-Backtracking,-11.467541,0.001000,true,3.326096
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,L-BFGS-Aggressive,Computational_Cost,QQN-Backtracking,-176.921217,0.001000,true,43.360181
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Trust Region-Conservative,Final_Objective_Value,QQN-Backtracking,-33.841238,0.001000,true,10.701539
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Trust Region-Conservative,Computational_Cost,Trust Region-Conservative,47.631645,0.001000,true,15.062449
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,L-BFGS,Final_Objective_Value,QQN-Backtracking,-6.532358,0.001000,true,2.065713
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,L-BFGS,Computational_Cost,-,-0.481913,0.500000,false,0.152394
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Trust Region-Adaptive,Final_Objective_Value,-,-1.572513,0.100000,false,0.497272
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,48.018129,0.001000,true,15.184666
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,L-BFGS-Conservative,Final_Objective_Value,QQN-Backtracking,-6.549482,0.001000,true,2.071128
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,L-BFGS-Conservative,Computational_Cost,QQN-Backtracking,-17.591636,0.001000,true,5.562964
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam-Fast,Final_Objective_Value,Adam-Fast,3.561283,0.001000,true,0.913942
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam-Fast,Computational_Cost,Adam-Fast,42.142731,0.001000,true,9.433811
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam-WeightDecay,Final_Objective_Value,QQN-Backtracking,-11.512480,0.001000,true,3.640566
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,87.822853,0.001000,true,27.772024
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Trust Region-Standard,Final_Objective_Value,QQN-Backtracking,-2.528843,0.010000,true,0.799690
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Trust Region-Standard,Computational_Cost,Trust Region-Standard,71.940016,0.001000,true,22.749431
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD-Nesterov,Final_Objective_Value,QQN-Backtracking,-36.366521,0.001000,true,11.500104
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD-Nesterov,Computational_Cost,GD-Nesterov,860.709080,0.001000,true,272.180109
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD-WeightDecay,Final_Objective_Value,QQN-Backtracking,-28.889538,0.001000,true,9.135674
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD-WeightDecay,Computational_Cost,QQN-Backtracking,-248.089441,0.001000,true,78.452770
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam-AMSGrad,Final_Objective_Value,QQN-Backtracking,-22.979905,0.001000,true,7.266884
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,Adam-AMSGrad,Computational_Cost,Adam-AMSGrad,87.822853,0.001000,true,27.772024
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD-Momentum,Final_Objective_Value,QQN-Backtracking,-35.531252,0.001000,true,11.235969
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD-Momentum,Computational_Cost,GD-Momentum,930.469309,0.001000,true,294.240231
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD,Final_Objective_Value,QQN-Backtracking,-33.382337,0.001000,true,10.394179
NeuralNetwork_100samples_layers_5_10_3,QQN-Backtracking,GD,Computational_Cost,QQN-Backtracking,-248.089441,0.001000,true,78.452770
