Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
StyblinskiTang_5D,Highly Multimodal,5,QQN-StrongWolfe,-1.852283e2,NaN,-1.852283e2,1.172155e1,-1.958308e2,-1.534207e2,15.6,237.4,NaN,237.4,217.7,NaN,217.7,0.007,0.000,20
StyblinskiTang_5D,Highly Multimodal,5,QQN-Backtracking,-1.838146e2,NaN,-1.838146e2,1.205772e1,-1.958308e2,-1.534207e2,16.4,135.7,NaN,135.7,96.7,NaN,96.7,0.004,0.000,20
StyblinskiTang_5D,Highly Multimodal,5,Adam,-6.439908e0,NaN,-6.439908e0,1.875896e0,-9.717948e0,-3.110793e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
StyblinskiTang_5D,Highly Multimodal,5,L-BFGS-Conservative,-1.852280e2,NaN,-1.852280e2,1.172131e1,-1.958308e2,-1.534207e2,106.3,553.9,NaN,553.9,436.1,NaN,436.1,0.014,0.000,20
StyblinskiTang_5D,Highly Multimodal,5,QQN-GoldenSection,-1.878200e2,NaN,-1.878200e2,1.106122e1,-1.958308e2,-1.534207e2,13.3,471.9,NaN,471.9,79.4,NaN,79.4,0.008,0.000,60
StyblinskiTang_5D,Highly Multimodal,5,QQN-CubicQuadraticInterpolation,-1.795691e2,NaN,-1.795691e2,1.501029e1,-1.958308e2,-1.392840e2,15.3,294.3,NaN,294.3,431.9,NaN,431.9,0.010,0.000,40
StyblinskiTang_10D,Highly Multimodal,10,Adam-AMSGrad,-1.405800e1,NaN,-1.405800e1,1.489252e0,-1.636583e1,-1.041016e1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.012,0.000,20
StyblinskiTang_10D,Highly Multimodal,10,QQN-Bisection-1,-3.719570e2,-3.916617e2,-3.697676e2,1.708494e1,-3.916617e2,-3.068413e2,18.1,379.2,381.8,379.0,415.2,424.5,414.1,0.009,0.100,40
StyblinskiTang_10D,Highly Multimodal,10,QQN-CubicQuadraticInterpolation,-3.710420e2,-3.916617e2,-3.586703e2,2.240774e1,-3.916617e2,-2.959285e2,15.9,318.6,271.4,347.0,474.8,386.3,527.8,0.012,0.375,40
StyblinskiTang_10D,Highly Multimodal,10,QQN-Backtracking,-3.648019e2,-3.916617e2,-3.618175e2,1.605623e1,-3.916617e2,-3.351148e2,18.1,146.8,107.5,151.2,107.3,84.0,109.9,0.005,0.100,20
StyblinskiTang_10D,Highly Multimodal,10,GD-Nesterov,-3.790609e2,-3.909070e2,-3.739841e2,1.016214e1,-3.916617e2,-3.492515e2,77.9,80.9,79.2,81.6,157.8,154.3,159.3,0.003,0.300,20
StyblinskiTang_10D,Highly Multimodal,10,QQN-MoreThuente,-3.491778e2,-3.916617e2,-3.350165e2,5.913890e1,-3.916617e2,-1.603666e2,28.4,357.4,288.2,380.4,373.9,289.4,402.1,0.010,0.250,20
StyblinskiTang_10D,Highly Multimodal,10,L-BFGS-Conservative,-3.796156e2,-3.916617e2,-3.774898e2,1.283251e1,-3.916617e2,-3.492515e2,107.3,561.9,549.0,564.2,440.8,431.7,442.4,0.015,0.150,20
StyblinskiTang_10D,Highly Multimodal,10,Adam,-1.374256e1,NaN,-1.374256e1,2.343674e0,-1.927165e1,-9.781137e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
StyblinskiTang_10D,Highly Multimodal,10,Trust Region-Standard,-2.005392e2,NaN,-2.005392e2,8.950711e-1,-2.027349e2,-1.989920e2,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.004,0.000,20
StyblinskiTang_10D,Highly Multimodal,10,Trust Region-Adaptive,-5.140234e1,NaN,-5.140234e1,9.483091e-1,-5.293512e1,-4.959656e1,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.004,0.000,20
StyblinskiTang_10D,Highly Multimodal,10,Trust Region-Conservative,-3.339120e0,NaN,-3.339120e0,1.122957e0,-5.309921e0,-1.286831e0,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.004,0.000,20
StyblinskiTang_10D,Highly Multimodal,10,QQN-StrongWolfe,-3.765931e2,-3.916617e2,-3.701351e2,1.642977e1,-3.916617e2,-3.209781e2,19.2,323.4,211.5,371.3,288.5,198.5,327.1,0.010,0.300,20
StyblinskiTang_10D,Highly Multimodal,10,Adam-WeightDecay,-6.753129e1,NaN,-6.753129e1,3.961225e0,-7.573238e1,-6.192051e1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
StyblinskiTang_10D,Highly Multimodal,10,QQN-GoldenSection,-3.742264e2,-3.916617e2,-3.707393e2,1.299929e1,-3.916617e2,-3.492515e2,15.9,581.2,515.8,594.3,95.7,90.8,96.6,0.011,0.167,60
StyblinskiTang_10D,Highly Multimodal,10,GD-WeightDecay,-3.795492e2,-3.915324e2,-3.730967e2,1.118505e1,-3.916617e2,-3.490549e2,91.7,94.7,90.3,97.1,185.4,176.6,190.2,0.003,0.350,20
StyblinskiTang_10D,Highly Multimodal,10,GD,-3.803523e2,-3.916617e2,-3.719932e2,1.148472e1,-3.916617e2,-3.492515e2,138.7,141.7,136.5,145.6,279.4,268.9,287.2,0.004,0.425,40
StyblinskiTang_10D,Highly Multimodal,10,GD-Momentum,-3.632629e2,-3.878334e2,-3.605328e2,2.716903e1,-3.916617e2,-2.538194e2,81.1,84.1,124.0,79.7,164.2,244.0,155.3,0.003,0.100,20
StyblinskiTang_10D,Highly Multimodal,10,QQN-Bisection-2,-3.796454e2,-3.916617e2,-3.756400e2,1.026739e1,-3.916617e2,-3.633882e2,18.9,297.7,189.4,333.8,217.0,160.0,236.0,0.007,0.250,20
StyblinskiTang_10D,Highly Multimodal,10,Adam-Fast,-3.643672e2,-3.760808e2,-3.557092e2,1.232243e1,-3.765306e2,-3.366936e2,34.8,72.5,72.8,72.3,71.5,71.8,71.3,0.002,0.425,40
StyblinskiTang_10D,Highly Multimodal,10,L-BFGS,-3.763589e2,-3.867614e2,-3.694238e2,1.221171e1,-3.916617e2,-3.458555e2,20.4,195.3,173.0,210.2,84.0,75.9,89.4,0.003,0.400,20
StyblinskiTang_10D,Highly Multimodal,10,L-BFGS-Aggressive,-1.725141e2,NaN,-1.725141e2,4.005588e1,-2.444693e2,-8.372303e1,76.7,775.0,NaN,775.0,235.1,NaN,235.1,0.007,0.000,40
Beale_2D,Non-Convex Unimodal,2,QQN-CubicQuadraticInterpolation,2.291488e-1,2.064581e-15,8.332685e-1,1.376966e0,2.428739e-23,8.827016e0,14.0,311.8,284.0,384.8,494.1,437.7,642.7,0.011,0.725,40
Beale_2D,Non-Convex Unimodal,2,GD-WeightDecay,1.208457e-4,NaN,1.208457e-4,2.091114e-6,1.168786e-4,1.243131e-4,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.010,0.000,20
Beale_2D,Non-Convex Unimodal,2,Trust Region-Conservative,1.276207e1,NaN,1.276207e1,2.815479e0,7.592557e0,1.720091e1,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.004,0.000,20
Beale_2D,Non-Convex Unimodal,2,Adam-Fast,1.674153e0,NaN,1.674153e0,1.362227e-1,1.438413e0,1.859877e0,18.4,39.7,NaN,39.7,38.7,NaN,38.7,0.001,0.000,40
Beale_2D,Non-Convex Unimodal,2,L-BFGS-Aggressive,1.275531e1,NaN,1.275531e1,4.307240e0,1.665032e-1,2.269523e1,76.0,772.1,NaN,772.1,233.2,NaN,233.2,0.005,0.000,40
Beale_2D,Non-Convex Unimodal,2,QQN-Backtracking,4.105114e-1,1.007151e-15,4.829546e-1,1.761273e0,2.626821e-19,8.087039e0,57.8,507.4,109.7,577.5,352.0,87.0,398.8,0.019,0.150,20
Beale_2D,Non-Convex Unimodal,2,GD-Momentum,8.934337e-1,6.080049e-6,9.404562e-1,8.441945e-1,6.080049e-6,2.458357e0,26.4,29.4,142.0,23.5,54.8,280.0,42.9,0.001,0.050,20
Beale_2D,Non-Convex Unimodal,2,Trust Region-Standard,3.468774e-1,NaN,3.468774e-1,1.228703e-1,1.962312e-1,6.431486e-1,16.8,52.2,NaN,52.2,35.5,NaN,35.5,0.000,0.000,20
Beale_2D,Non-Convex Unimodal,2,QQN-MoreThuente,6.724607e0,5.680068e-15,8.405759e0,5.263132e0,7.829315e-19,1.658882e1,41.0,438.6,258.2,483.7,476.1,266.2,528.5,0.011,0.200,20
Beale_2D,Non-Convex Unimodal,2,Adam-WeightDecay,8.158189e-1,NaN,8.158189e-1,5.909877e-1,1.973759e-1,2.029373e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Beale_2D,Non-Convex Unimodal,2,GD,5.422092e-3,NaN,5.422092e-3,1.371337e-4,5.200866e-3,5.674316e-3,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.008,0.000,40
Beale_2D,Non-Convex Unimodal,2,QQN-StrongWolfe,4.967204e-1,NaN,4.967204e-1,2.070416e0,1.575393e-2,9.521324e0,23.5,529.0,NaN,529.0,496.5,NaN,496.5,0.016,0.000,20
Beale_2D,Non-Convex Unimodal,2,QQN-Bisection-2,2.070575e0,3.229994e-15,6.901917e0,3.587905e0,4.721446e-23,8.987811e0,11.6,147.8,160.4,118.7,144.4,161.6,104.5,0.004,0.700,20
Beale_2D,Non-Convex Unimodal,2,QQN-Bisection-1,2.363016e-1,3.110232e-14,9.452065e0,1.475703e0,2.652477e-22,9.452065e0,15.0,255.6,251.2,425.0,291.0,283.1,599.0,0.005,0.975,40
Beale_2D,Non-Convex Unimodal,2,Adam-AMSGrad,8.486026e0,NaN,8.486026e0,2.495434e0,4.955349e0,1.316926e1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
Beale_2D,Non-Convex Unimodal,2,Adam,9.386985e0,NaN,9.386985e0,2.599836e0,5.376032e0,1.273734e1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Beale_2D,Non-Convex Unimodal,2,L-BFGS-Conservative,3.985707e-7,NaN,3.985707e-7,1.093948e-6,1.924916e-11,4.515956e-6,108.0,567.7,NaN,567.7,438.1,NaN,438.1,0.013,0.000,20
Beale_2D,Non-Convex Unimodal,2,GD-Nesterov,1.788500e-3,NaN,1.788500e-3,6.249088e-4,9.930832e-4,3.028111e-3,35.9,38.9,NaN,38.9,73.8,NaN,73.8,0.001,0.000,20
Beale_2D,Non-Convex Unimodal,2,QQN-GoldenSection,1.504728e-15,1.504728e-15,NaN,2.295711e-15,1.694824e-20,8.517038e-15,15.5,632.7,632.7,NaN,90.2,90.2,NaN,0.011,1.000,60
Beale_2D,Non-Convex Unimodal,2,L-BFGS,1.570292e0,NaN,1.570292e0,5.788210e0,6.436938e-7,2.669762e1,36.8,320.6,NaN,320.6,145.4,NaN,145.4,0.005,0.000,20
Beale_2D,Non-Convex Unimodal,2,Trust Region-Adaptive,8.191719e0,NaN,8.191719e0,3.520180e1,1.623635e-2,1.616325e2,58.6,178.0,NaN,178.0,119.3,NaN,119.3,0.001,0.000,20
Levi_2D,Non-Convex Unimodal,2,Adam-WeightDecay,1.906275e0,NaN,1.906275e0,2.839533e-1,1.436578e0,2.764802e0,47.7,98.4,NaN,98.4,97.4,NaN,97.4,0.002,0.000,20
Levi_2D,Non-Convex Unimodal,2,Trust Region-Conservative,2.273519e0,NaN,2.273519e0,4.382765e-1,1.702980e0,3.181867e0,149.8,453.1,NaN,453.1,302.7,NaN,302.7,0.003,0.000,20
Levi_2D,Non-Convex Unimodal,2,GD,2.220033e0,NaN,2.220033e0,3.418215e-1,1.073325e0,3.171424e0,12.9,15.8,NaN,15.8,27.8,NaN,27.8,0.000,0.000,40
Levi_2D,Non-Convex Unimodal,2,GD-Momentum,1.887989e0,1.503719e-1,2.081057e0,8.005126e-1,1.031279e-1,2.981684e0,17.1,20.1,41.0,17.7,36.1,78.0,31.4,0.001,0.100,20
Levi_2D,Non-Convex Unimodal,2,QQN-CubicQuadraticInterpolation,1.125855e0,1.443558e-1,1.177513e0,8.289080e-1,1.856086e-15,2.499160e0,10.9,237.1,254.0,236.2,361.6,382.0,360.5,0.008,0.050,40
Levi_2D,Non-Convex Unimodal,2,Trust Region-Standard,2.133863e0,NaN,2.133863e0,3.571555e-1,1.534268e0,3.157127e0,3.4,12.2,NaN,12.2,8.8,NaN,8.8,0.000,0.000,20
Levi_2D,Non-Convex Unimodal,2,Trust Region-Adaptive,2.047271e0,NaN,2.047271e0,5.040933e-1,1.100422e0,3.376658e0,8.3,27.1,NaN,27.1,18.7,NaN,18.7,0.000,0.000,20
Levi_2D,Non-Convex Unimodal,2,L-BFGS-Aggressive,2.359701e0,NaN,2.359701e0,1.286473e0,1.118363e-1,4.995147e0,80.9,712.1,NaN,712.1,247.5,NaN,247.5,0.006,0.000,40
Levi_2D,Non-Convex Unimodal,2,QQN-Backtracking,1.151278e0,1.098737e-1,1.266989e0,1.006299e0,1.597735e-5,3.072637e0,25.2,263.8,353.0,253.9,151.3,200.0,145.9,0.008,0.100,20
Levi_2D,Non-Convex Unimodal,2,QQN-Bisection-1,1.469972e0,1.694863e-1,1.578346e0,8.087795e-1,1.644270e-2,2.752709e0,10.4,201.7,327.0,191.5,230.7,359.7,220.2,0.004,0.075,40
Levi_2D,Non-Convex Unimodal,2,QQN-StrongWolfe,1.282581e0,2.887115e-1,1.334890e0,9.321500e-1,2.057532e-2,2.752709e0,13.6,248.1,125.0,254.6,212.9,122.0,217.7,0.007,0.050,20
Levi_2D,Non-Convex Unimodal,2,GD-WeightDecay,1.875239e0,NaN,1.875239e0,3.766554e-1,6.335794e-1,2.226312e0,28.4,31.4,NaN,31.4,58.9,NaN,58.9,0.001,0.000,20
Levi_2D,Non-Convex Unimodal,2,GD-Nesterov,2.116164e0,NaN,2.116164e0,3.724451e-1,1.498026e0,3.156576e0,14.6,17.6,NaN,17.6,31.1,NaN,31.1,0.000,0.000,20
Levi_2D,Non-Convex Unimodal,2,QQN-Bisection-2,1.155428e0,1.016918e-1,1.908096e0,1.024656e0,2.885671e-17,3.072637e0,7.0,92.4,226.4,47.7,63.9,144.6,37.0,0.002,0.250,20
Levi_2D,Non-Convex Unimodal,2,QQN-MoreThuente,1.639651e0,1.098737e-1,1.720166e0,5.475362e-1,1.098737e-1,2.499160e0,14.1,155.6,437.0,140.8,162.9,470.0,146.7,0.004,0.050,20
Levi_2D,Non-Convex Unimodal,2,Adam-Fast,2.063709e0,NaN,2.063709e0,2.986008e-1,1.432345e0,3.178787e0,31.6,66.2,NaN,66.2,65.2,NaN,65.2,0.001,0.000,40
Levi_2D,Non-Convex Unimodal,2,Adam,1.912781e0,NaN,1.912781e0,1.726734e-1,1.427720e0,1.982547e0,129.0,261.0,NaN,261.0,260.0,NaN,260.0,0.005,0.000,20
Levi_2D,Non-Convex Unimodal,2,QQN-GoldenSection,7.585333e-1,1.089555e-1,9.562309e-1,8.708646e-1,8.388212e-18,2.752709e0,12.4,528.8,467.4,547.5,75.0,69.3,76.8,0.009,0.233,60
Levi_2D,Non-Convex Unimodal,2,L-BFGS,5.440146e0,2.761463e0,1.041484e1,7.620688e0,1.171747e-1,3.176066e1,11.6,104.2,102.3,107.7,44.5,44.5,44.3,0.001,0.650,20
Levi_2D,Non-Convex Unimodal,2,L-BFGS-Conservative,1.902082e0,NaN,1.902082e0,1.808073e-1,1.426633e0,2.070606e0,35.0,279.5,NaN,279.5,145.7,NaN,145.7,0.004,0.000,20
Levi_2D,Non-Convex Unimodal,2,Adam-AMSGrad,2.005726e0,NaN,2.005726e0,1.819093e-1,1.702164e0,2.753203e0,141.8,286.6,NaN,286.6,285.6,NaN,285.6,0.006,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,Adam,8.635048e2,NaN,8.635048e2,5.367553e1,8.400093e2,1.069549e3,212.6,428.6,NaN,428.6,428.2,NaN,428.2,0.008,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,QQN-Bisection-1,1.013866e2,8.400000e1,1.027963e2,1.187719e2,1.470024e1,8.400000e2,14.8,321.9,293.3,324.2,386.8,349.7,389.8,0.009,0.075,40
GoldsteinPrice_2D,Non-Convex Unimodal,2,QQN-GoldenSection,8.400000e1,8.400000e1,8.400000e1,2.145921e-10,8.400000e1,8.400000e1,9.6,372.0,418.0,368.7,59.6,80.5,58.1,0.006,0.067,60
GoldsteinPrice_2D,Non-Convex Unimodal,2,QQN-Backtracking,9.570074e1,NaN,9.570074e1,4.375790e1,8.400000e1,2.863614e2,36.1,771.2,NaN,771.2,223.7,NaN,223.7,0.018,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,Adam-AMSGrad,8.930733e2,NaN,8.930733e2,1.179644e2,8.400057e2,1.297299e3,225.3,454.2,NaN,454.2,453.8,NaN,453.8,0.010,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,Trust Region-Conservative,2.670293e3,NaN,2.670293e3,1.595692e3,8.590906e2,6.259775e3,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.004,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,GD-Momentum,9.720068e2,1.187359e3,8.797131e2,8.305025e2,1.171042e2,3.299099e3,15.8,18.8,21.0,17.8,33.5,38.0,31.6,0.000,0.300,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,GD,8.502247e2,NaN,8.502247e2,6.036747e0,8.416236e2,8.743633e2,22.2,25.2,NaN,25.2,46.5,NaN,46.5,0.001,0.000,40
GoldsteinPrice_2D,Non-Convex Unimodal,2,GD-Nesterov,8.545964e2,NaN,8.545964e2,1.822652e1,8.403129e2,9.100178e2,14.8,17.8,NaN,17.8,31.5,NaN,31.5,0.000,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,Trust Region-Standard,2.829296e3,NaN,2.829296e3,1.783887e3,8.401853e2,7.182250e3,189.5,573.4,NaN,573.4,382.9,NaN,382.9,0.004,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,Adam-WeightDecay,8.402961e2,NaN,8.402961e2,3.228590e-1,8.400430e2,8.410149e2,91.4,185.8,NaN,185.8,184.8,NaN,184.8,0.004,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,Adam-Fast,8.514163e2,NaN,8.514163e2,1.370782e1,8.403852e2,8.946140e2,14.6,32.2,NaN,32.2,31.2,NaN,31.2,0.001,0.000,40
GoldsteinPrice_2D,Non-Convex Unimodal,2,L-BFGS,7.228089e5,1.313455e6,9.081928e2,3.136656e6,9.587199e1,1.439510e7,11.5,114.1,93.9,138.8,37.4,32.6,43.2,0.002,0.550,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,Trust Region-Adaptive,1.907416e3,NaN,1.907416e3,9.015813e2,8.400064e2,4.027123e3,188.0,568.7,NaN,568.7,379.8,NaN,379.8,0.004,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,QQN-CubicQuadraticInterpolation,3.665188e2,NaN,3.665188e2,3.668551e2,3.000000e1,8.400000e2,12.6,377.8,NaN,377.8,617.1,NaN,617.1,0.014,0.000,40
GoldsteinPrice_2D,Non-Convex Unimodal,2,L-BFGS-Aggressive,1.166474e3,3.000000e0,1.196306e3,7.240865e2,3.000000e0,3.900623e3,75.2,759.5,184.0,774.3,230.7,73.0,234.7,0.007,0.025,40
GoldsteinPrice_2D,Non-Convex Unimodal,2,L-BFGS-Conservative,8.503643e2,NaN,8.503643e2,1.658137e1,8.400000e2,8.924854e2,27.1,258.9,NaN,258.9,131.6,NaN,131.6,0.004,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,GD-WeightDecay,8.561286e2,NaN,8.561286e2,1.766703e1,8.401659e2,9.006765e2,15.4,18.4,NaN,18.4,32.8,NaN,32.8,0.001,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,QQN-MoreThuente,8.822779e2,NaN,8.822779e2,5.963062e2,1.602501e2,2.688332e3,48.7,482.2,NaN,482.2,528.9,NaN,528.9,0.011,0.000,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,QQN-StrongWolfe,8.424610e1,8.400000e1,8.428953e1,1.072704e0,8.400000e1,8.892190e1,21.9,473.7,565.7,457.5,258.2,300.0,250.8,0.012,0.150,20
GoldsteinPrice_2D,Non-Convex Unimodal,2,QQN-Bisection-2,8.709884e1,NaN,8.709884e1,2.516053e0,8.400000e1,9.201971e1,1.9,25.1,NaN,25.1,41.5,NaN,41.5,0.001,0.000,20
Matyas_2D,Convex Unimodal,2,Trust Region-Conservative,3.832406e-2,NaN,3.832406e-2,5.666897e-3,2.794144e-2,5.200997e-2,2.7,10.1,NaN,10.1,7.4,NaN,7.4,0.000,0.000,20
Matyas_2D,Convex Unimodal,2,QQN-CubicQuadraticInterpolation,5.120793e-14,5.120793e-14,NaN,1.232264e-13,0.000000e0,5.241350e-13,6.0,105.8,105.8,NaN,146.9,146.9,NaN,0.003,1.000,40
Matyas_2D,Convex Unimodal,2,QQN-Bisection-2,1.455170e-13,1.455170e-13,NaN,1.992093e-13,4.098400e-18,6.537071e-13,9.3,99.5,99.5,NaN,114.5,114.5,NaN,0.003,1.000,20
Matyas_2D,Convex Unimodal,2,L-BFGS-Aggressive,2.047392e-3,NaN,2.047392e-3,6.231267e-3,3.748615e-11,2.691428e-2,93.6,721.6,NaN,721.6,285.9,NaN,285.9,0.011,0.000,40
Matyas_2D,Convex Unimodal,2,Adam-Fast,1.512295e-3,NaN,1.512295e-3,8.803878e-4,2.209206e-4,2.724707e-3,25.3,53.5,NaN,53.5,52.5,NaN,52.5,0.001,0.000,40
Matyas_2D,Convex Unimodal,2,QQN-StrongWolfe,2.988701e-28,2.988701e-28,NaN,9.127835e-28,3.865418e-31,4.163679e-27,4.0,25.0,25.0,NaN,26.0,26.0,NaN,0.001,1.000,20
Matyas_2D,Convex Unimodal,2,Adam-AMSGrad,2.886080e-2,NaN,2.886080e-2,6.120357e-3,1.718760e-2,3.812705e-2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
Matyas_2D,Convex Unimodal,2,QQN-MoreThuente,2.174033e-13,2.174033e-13,NaN,2.850751e-13,1.190222e-16,1.059712e-12,9.6,135.6,135.6,NaN,138.3,138.3,NaN,0.003,1.000,20
Matyas_2D,Convex Unimodal,2,GD-Momentum,2.909338e-3,NaN,2.909338e-3,4.767957e-4,2.096421e-3,3.858316e-3,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.009,0.000,20
Matyas_2D,Convex Unimodal,2,QQN-Backtracking,1.498457e-28,1.498457e-28,NaN,3.075384e-28,1.232595e-32,1.082073e-27,4.0,25.0,25.0,NaN,21.0,21.0,NaN,0.001,1.000,20
Matyas_2D,Convex Unimodal,2,GD-WeightDecay,2.100483e-2,NaN,2.100483e-2,2.776555e-3,1.512943e-2,2.458974e-2,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.010,0.000,20
Matyas_2D,Convex Unimodal,2,Adam-WeightDecay,9.326297e-3,NaN,9.326297e-3,4.843585e-3,3.803886e-3,2.095853e-2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Matyas_2D,Convex Unimodal,2,Trust Region-Standard,2.048393e-1,NaN,2.048393e-1,1.318842e-1,2.729184e-2,3.281735e-1,1.6,6.8,NaN,6.8,5.2,NaN,5.2,0.000,0.000,20
Matyas_2D,Convex Unimodal,2,L-BFGS,4.838172e-4,6.689771e-7,6.448666e-4,2.078422e-3,4.512283e-13,9.543268e-3,71.8,386.4,302.0,414.5,291.5,222.6,314.5,0.009,0.250,20
Matyas_2D,Convex Unimodal,2,QQN-Bisection-1,1.008821e-13,1.008821e-13,NaN,1.843860e-13,3.200082e-21,7.646850e-13,9.2,100.4,100.4,NaN,139.2,139.2,NaN,0.003,1.000,40
Matyas_2D,Convex Unimodal,2,Trust Region-Adaptive,5.470005e-2,NaN,5.470005e-2,1.467723e-2,3.252483e-2,8.469436e-2,1.1,5.3,NaN,5.3,4.2,NaN,4.2,0.000,0.000,20
Matyas_2D,Convex Unimodal,2,GD-Nesterov,2.826040e-3,NaN,2.826040e-3,4.425844e-4,2.004235e-3,3.486573e-3,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.010,0.000,20
Matyas_2D,Convex Unimodal,2,GD,3.059676e-2,NaN,3.059676e-2,4.957961e-3,2.100515e-2,4.126619e-2,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.008,0.000,40
Matyas_2D,Convex Unimodal,2,Adam,2.896850e-2,NaN,2.896850e-2,5.734850e-3,2.003200e-2,3.853650e-2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.009,0.000,20
Matyas_2D,Convex Unimodal,2,QQN-GoldenSection,1.353773e-13,1.353773e-13,NaN,2.637832e-13,7.152790e-21,1.410434e-12,9.0,350.3,350.3,NaN,51.1,51.1,NaN,0.006,1.000,60
Matyas_2D,Convex Unimodal,2,L-BFGS-Conservative,2.457279e-7,NaN,2.457279e-7,4.335259e-7,2.564868e-11,1.477684e-6,109.9,560.1,NaN,560.1,445.6,NaN,445.6,0.013,0.000,20
Himmelblau_2D,Himmelblau,2,Trust Region-Standard,1.260348e-1,NaN,1.260348e-1,9.048141e-2,1.177442e-2,2.927739e-1,171.5,516.5,NaN,516.5,345.0,NaN,345.0,0.003,0.000,20
Himmelblau_2D,Himmelblau,2,Adam,1.590410e2,NaN,1.590410e2,4.163320e0,1.508539e2,1.656763e2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Himmelblau_2D,Himmelblau,2,Adam-WeightDecay,1.234494e2,NaN,1.234494e2,5.474251e0,1.159892e2,1.350252e2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Himmelblau_2D,Himmelblau,2,QQN-Bisection-2,3.245012e-16,3.245012e-16,NaN,1.192123e-15,1.146400e-20,5.505406e-15,9.7,118.7,118.7,NaN,124.1,124.1,NaN,0.003,1.000,20
Himmelblau_2D,Himmelblau,2,Adam-Fast,4.871404e0,NaN,4.871404e0,1.323733e0,9.639239e-1,5.792929e0,34.4,71.8,NaN,71.8,70.8,NaN,70.8,0.001,0.000,40
Himmelblau_2D,Himmelblau,2,L-BFGS,1.299881e1,NaN,1.299881e1,1.408459e1,6.764625e-1,5.204695e1,13.2,122.8,NaN,122.8,49.8,NaN,49.8,0.002,0.000,20
Himmelblau_2D,Himmelblau,2,QQN-Backtracking,2.106452e-15,2.106452e-15,NaN,4.175340e-15,2.531319e-19,1.416738e-14,15.2,131.7,131.7,NaN,87.9,87.9,NaN,0.004,1.000,20
Himmelblau_2D,Himmelblau,2,L-BFGS-Aggressive,7.944982e1,NaN,7.944982e1,4.257171e1,2.346849e-1,1.368171e2,76.0,770.8,NaN,770.8,233.0,NaN,233.0,0.005,0.000,40
Himmelblau_2D,Himmelblau,2,Adam-AMSGrad,1.586760e2,NaN,1.586760e2,4.002676e0,1.515545e2,1.654802e2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
Himmelblau_2D,Himmelblau,2,GD-WeightDecay,4.112337e-1,NaN,4.112337e-1,3.376705e-1,3.280213e-5,1.283246e0,36.6,39.6,NaN,39.6,75.2,NaN,75.2,0.001,0.000,20
Himmelblau_2D,Himmelblau,2,L-BFGS-Conservative,4.075172e-7,4.165006e-15,4.527969e-7,1.339120e-6,3.847266e-15,6.164176e-6,102.8,556.6,469.5,566.3,431.2,352.5,440.0,0.013,0.100,20
