Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
Barrier_10D_mu0.1,QQN-StrongWolfe,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,GD,Computational_Cost,QQN-StrongWolfe,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-StrongWolfe,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Adaptive,Computational_Cost,QQN-GoldenSection,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-Fast,Computational_Cost,QQN-GoldenSection,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-GoldenSection,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-Momentum,Computational_Cost,QQN-GoldenSection,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS-Conservative,Computational_Cost,QQN-GoldenSection,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-GoldenSection,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,Trust Region-Standard,Computational_Cost,QQN-GoldenSection,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-GoldenSection,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD-WeightDecay,Computational_Cost,QQN-GoldenSection,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-GoldenSection,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,GD,Computational_Cost,QQN-GoldenSection,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-GoldenSection,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Adaptive,Computational_Cost,QQN-Bisection-1,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-Fast,Computational_Cost,QQN-Bisection-1,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-Bisection-1,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD-Momentum,Computational_Cost,QQN-Bisection-1,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS-Conservative,Computational_Cost,QQN-Bisection-1,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-Bisection-1,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,Trust Region-Standard,Computational_Cost,QQN-Bisection-1,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-Bisection-1,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD-WeightDecay,Computational_Cost,QQN-Bisection-1,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-Bisection-1,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,GD,Computational_Cost,QQN-Bisection-1,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-1,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Computational_Cost,QQN-CubicQuadraticInterpolation,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Adam-Fast,Computational_Cost,QQN-CubicQuadraticInterpolation,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,GD-Momentum,Computational_Cost,QQN-CubicQuadraticInterpolation,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Computational_Cost,QQN-CubicQuadraticInterpolation,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Computational_Cost,QQN-CubicQuadraticInterpolation,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Computational_Cost,QQN-CubicQuadraticInterpolation,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,GD,Computational_Cost,QQN-CubicQuadraticInterpolation,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-CubicQuadraticInterpolation,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-MoreThuente,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,Trust Region-Adaptive,Computational_Cost,QQN-MoreThuente,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-MoreThuente,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,Adam-Fast,Computational_Cost,QQN-MoreThuente,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-MoreThuente,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,GD-Momentum,Computational_Cost,QQN-MoreThuente,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-MoreThuente,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-MoreThuente,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,L-BFGS-Conservative,Computational_Cost,QQN-MoreThuente,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-MoreThuente,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,Trust Region-Standard,Computational_Cost,QQN-MoreThuente,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-MoreThuente,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
